"","date","PX_LAST","PX_VOLUME","TOT_RETURN_INDEX_NET_DVDS","etf"
"1",2018-06-19,49.96,16588,49.96,"XLC US Equity"
"2",2018-06-20,50.58,189989,50.58,"XLC US Equity"
"3",2018-06-21,50.27,428740,50.27,"XLC US Equity"
"4",2018-06-22,50.49,181638,50.49,"XLC US Equity"
"5",2018-06-25,49.45,2509603,49.45,"XLC US Equity"
"6",2018-06-26,49.5322,104005,49.5322,"XLC US Equity"
"7",2018-06-27,49.1,144983,49.1,"XLC US Equity"
"8",2018-06-28,49.59,336481,49.59,"XLC US Equity"
"9",2018-06-29,49.53,152346,49.53,"XLC US Equity"
"10",2018-07-02,49.84,321297,49.84,"XLC US Equity"
"11",2018-07-03,49.23,97459,49.23,"XLC US Equity"
"12",2018-07-05,49.9799,324879,49.9799,"XLC US Equity"
"13",2018-07-06,50.77,199770,50.77,"XLC US Equity"
"14",2018-07-09,51.06,118112,51.06,"XLC US Equity"
"15",2018-07-10,51.039,1153296,51.039,"XLC US Equity"
"16",2018-07-11,50.97,227517,50.97,"XLC US Equity"
"17",2018-07-12,51.77,361366,51.77,"XLC US Equity"
"18",2018-07-13,51.69,80077,51.69,"XLC US Equity"
"19",2018-07-16,51.54,200891,51.54,"XLC US Equity"
"20",2018-07-17,51.55,172559,51.55,"XLC US Equity"
"21",2018-07-18,51.4,147833,51.4,"XLC US Equity"
"22",2018-07-19,51.04,258442,51.04,"XLC US Equity"
"23",2018-07-20,50.87,158390,50.87,"XLC US Equity"
"24",2018-07-23,51.08,94753,51.08,"XLC US Equity"
"25",2018-07-24,51.44,211201,51.44,"XLC US Equity"
"26",2018-07-25,51.81,612027,51.81,"XLC US Equity"
"27",2018-07-26,49.8562,833638,49.8562,"XLC US Equity"
"28",2018-07-27,48.91,1111208,48.91,"XLC US Equity"
"29",2018-07-30,48.14,251253,48.14,"XLC US Equity"
"30",2018-07-31,48.46,1211405,48.46,"XLC US Equity"
"31",2018-08-01,48.26,1250389,48.26,"XLC US Equity"
"32",2018-08-02,48.58,190710,48.58,"XLC US Equity"
"33",2018-08-03,48.91,117156,48.91,"XLC US Equity"
"34",2018-08-06,49.4,110254,49.4,"XLC US Equity"
"35",2018-08-07,49.46,128846,49.46,"XLC US Equity"
"36",2018-08-08,49.42,114201,49.42,"XLC US Equity"
"37",2018-08-09,49.69,306361,49.69,"XLC US Equity"
"38",2018-08-10,49.27,177577,49.27,"XLC US Equity"
"39",2018-08-13,49.2,261036,49.2,"XLC US Equity"
"40",2018-08-14,49.55,189801,49.55,"XLC US Equity"
"41",2018-08-15,48.86,555147,48.86,"XLC US Equity"
"42",2018-08-16,48.84,177579,48.84,"XLC US Equity"
"43",2018-08-17,48.61,226924,48.61,"XLC US Equity"
"44",2018-08-20,48.69,145778,48.69,"XLC US Equity"
"45",2018-08-21,48.99,384889,48.99,"XLC US Equity"
"46",2018-08-22,48.93,501855,48.93,"XLC US Equity"
"47",2018-08-23,48.73,283725,48.73,"XLC US Equity"
"48",2018-08-24,49.44,330882,49.44,"XLC US Equity"
"49",2018-08-27,49.92,299237,49.92,"XLC US Equity"
"50",2018-08-28,49.7,150238,49.7,"XLC US Equity"
"51",2018-08-29,49.98,270866,49.98,"XLC US Equity"
"52",2018-08-30,49.67,344409,49.67,"XLC US Equity"
"53",2018-08-31,49.18,234969,49.18,"XLC US Equity"
"54",2018-09-04,48.57,343694,48.57,"XLC US Equity"
"55",2018-09-05,47.94,773599,47.94,"XLC US Equity"
"56",2018-09-06,47.58,599592,47.58,"XLC US Equity"
"57",2018-09-07,47.68,755726,47.68,"XLC US Equity"
"58",2018-09-10,47.78,310874,47.78,"XLC US Equity"
"59",2018-09-11,48.26,615753,48.26,"XLC US Equity"
"60",2018-09-12,48.12,713288,48.12,"XLC US Equity"
"61",2018-09-13,48.46,754494,48.46,"XLC US Equity"
"62",2018-09-14,48.37,1190839,48.37,"XLC US Equity"
"63",2018-09-17,47.9,810780,47.9,"XLC US Equity"
"64",2018-09-18,48.24,430348,48.24,"XLC US Equity"
"65",2018-09-19,48.37,2385315,48.37,"XLC US Equity"
"66",2018-09-20,48.9,4554248,48.9,"XLC US Equity"
"67",2018-09-21,48.55,7974618,48.6817,"XLC US Equity"
"68",2018-09-24,48.55,6769350,48.6817,"XLC US Equity"
"69",2018-09-25,48.57,3994751,48.7017,"XLC US Equity"
"70",2018-09-26,48.76,5688601,48.8923,"XLC US Equity"
"71",2018-09-27,49.18,3649353,49.3134,"XLC US Equity"
"72",2018-09-28,49,2306627,49.1329,"XLC US Equity"
"73",2018-10-01,48.8,7636941,48.9324,"XLC US Equity"
"74",2018-10-02,48.76,5823514,48.8923,"XLC US Equity"
"75",2018-10-03,48.98,5146373,49.1128,"XLC US Equity"
"76",2018-10-04,48.28,5292234,48.411,"XLC US Equity"
"77",2018-10-05,47.82,2648640,47.9497,"XLC US Equity"
"78",2018-10-08,47.66,2170015,47.7893,"XLC US Equity"
"79",2018-10-09,47.63,1991429,47.7592,"XLC US Equity"
"80",2018-10-10,45.75,4050865,45.8741,"XLC US Equity"
"81",2018-10-11,45.36,8841290,45.483,"XLC US Equity"
"82",2018-10-12,46.37,5877552,46.4958,"XLC US Equity"
"83",2018-10-15,46.19,1576938,46.3153,"XLC US Equity"
"84",2018-10-16,47.41,3707728,47.5386,"XLC US Equity"
"85",2018-10-17,47.6,4571077,47.7291,"XLC US Equity"
"86",2018-10-18,46.73,21297459,46.8567,"XLC US Equity"
"87",2018-10-19,46.72,3544398,46.8467,"XLC US Equity"
"88",2018-10-22,46.69,2711722,46.8166,"XLC US Equity"
"89",2018-10-23,46.59,2779554,46.7164,"XLC US Equity"
"90",2018-10-24,44.37,3552503,44.4903,"XLC US Equity"
"91",2018-10-25,45.84,3391689,45.9643,"XLC US Equity"
"92",2018-10-26,44.6,5229234,44.721,"XLC US Equity"
"93",2018-10-29,43.91,3490983,44.0291,"XLC US Equity"
"94",2018-10-30,45.11,6283632,45.2324,"XLC US Equity"
"95",2018-10-31,46.04,3577212,46.1649,"XLC US Equity"
"96",2018-11-01,46.31,2550117,46.4356,"XLC US Equity"
"97",2018-11-02,45.84,2628601,45.9643,"XLC US Equity"
"98",2018-11-05,45.65,2439542,45.7738,"XLC US Equity"
"99",2018-11-06,45.92,2040281,46.0445,"XLC US Equity"
"100",2018-11-07,46.76,2705818,46.8868,"XLC US Equity"
"101",2018-11-08,46.32,1295743,46.4456,"XLC US Equity"
"102",2018-11-09,45.37,2234494,45.4931,"XLC US Equity"
"103",2018-11-12,44.69,1203739,44.8112,"XLC US Equity"
"104",2018-11-13,44.55,2186090,44.6708,"XLC US Equity"
"105",2018-11-14,44.77,2137620,44.8914,"XLC US Equity"
"106",2018-11-15,45.1,3894049,45.2223,"XLC US Equity"
"107",2018-11-16,44.88,2092140,45.0017,"XLC US Equity"
"108",2018-11-19,43.52,2358029,43.638,"XLC US Equity"
"109",2018-11-20,42.95,5028155,43.0665,"XLC US Equity"
"110",2018-11-21,43.46,3187427,43.5779,"XLC US Equity"
"111",2018-11-23,42.89,667072,43.0063,"XLC US Equity"
"112",2018-11-26,43.87,2563735,43.989,"XLC US Equity"
"113",2018-11-27,44.01,2114395,44.1294,"XLC US Equity"
"114",2018-11-28,44.93,2707439,45.0519,"XLC US Equity"
"115",2018-11-29,45.08,2247728,45.2023,"XLC US Equity"
"116",2018-11-30,45.01,5563462,45.1321,"XLC US Equity"
